0	442e3665-c620-415d-9896-e5437de30bbc0	442e3665-c620-415d-9896-e5437de30bbc0end	 After going through all the steps, Brian tasted the pork chops.	Brain enjoyed eating the vegetable.
1	d08d37fd-9914-44c3-a11f-591565f46a101	d08d37fd-9914-44c3-a11f-591565f46a101end	 Suddenly a big black bird swooped in from out of nowhere.	It ate the territorial hummingbird easily.
0	d8252037-d896-4629-88a7-0e370857b2a90	d8252037-d896-4629-88a7-0e370857b2a90end	 Thankfully the Celtics won.	Kelly was mad that the Celtics won and not the opposition.
0	9e54392e-74ed-404e-8fb3-f11fc885762d0	9e54392e-74ed-404e-8fb3-f11fc885762d0end	 She decided to cheat by looking at her neighbor's paper.	The teacher caught her and praised her ingenuity.
0	64e7243b-0ce1-4b4f-8485-5b94355045400	64e7243b-0ce1-4b4f-8485-5b94355045400end	 Finally, he realized the problem.	Harry decided not to help and walked away.
0	e4086d5f-fa5a-41ee-a268-0c984a2cf8160	e4086d5f-fa5a-41ee-a268-0c984a2cf8160end	 Jim's doctor told him he is becoming lactose intolerant.	Jim's wife decided he should have a dairy-rich diet.
0	0932cb74-8265-44a3-ad1e-53975f3ee80c0	0932cb74-8265-44a3-ad1e-53975f3ee80c0end	 Marcy looked in the bedrooms and didn't see them.	The children were in the kitchen eating lunch.
0	d0ecfef1-dc1f-4c54-820a-04e4c623da1f0	d0ecfef1-dc1f-4c54-820a-04e4c623da1f0end	 At the end of the day, they left the park and saw Ryan's boss.	Ryan got promoted.
1	2406943f-8a63-496d-8585-8ec3abac0f491	2406943f-8a63-496d-8585-8ec3abac0f491end	 It took 20 minutes to clean the blender.	Amy was determined to lose weight.
1	03a810c5-6385-470a-bf0f-4beae08c52841	03a810c5-6385-470a-bf0f-4beae08c52841end	 They wanted to know why I had a watered, fake flower.	Honestly, I didn't really know why either.
1	5589e9bd-0126-4ff8-86a4-1e8ff4a140b71	5589e9bd-0126-4ff8-86a4-1e8ff4a140b71end	 He eventually came before night time.	I was very angry at him for not picking me up earlier.
1	ce715a40-f9c1-436f-87fd-8f582337b5a31	ce715a40-f9c1-436f-87fd-8f582337b5a31end	 I went to the store the other day and bought what I needed.	I went home and practiced drawing.
1	ce4b43b2-79e1-4874-9f39-0b9540ec71ad1	ce4b43b2-79e1-4874-9f39-0b9540ec71ad1end	 She later realized her brother had made a design with the lotion.	Holly yelled at her brother to get back at him.
1	d25870e4-945d-48f7-a636-f2abd5ea5a3e1	d25870e4-945d-48f7-a636-f2abd5ea5a3e1end	 Michael got tired when he was out and started to yell for help.	His friends helped him back to the shore.
1	9eb4b140-2c8d-4f71-a01c-61081f97ac491	9eb4b140-2c8d-4f71-a01c-61081f97ac491end	 Neil was impressed by the obvious labor of love.	Neil was glad he had seen the taj Mahal.
